municipality,barangay,district,lat,lon,elevation_m
Rosales,TomanaEast,6,15.893543,120.612914,34.0
Rosales,TomanaWest,6,15.892029,120.608743,28.0
Rosales,ZoneI,6,15.888375,120.624075,30.0
Rosales,ZoneII,6,15.897429,120.628114,35.0
Rosales,ZoneIII,6,15.9049,120.620167,31.0
Rosales,ZoneIV,6,15.90526,120.62972,30.0
Rosales,ZoneV,6,15.8898,120.63062,39.0
San Manuel,Cabacaraan,6,16.05634,120.67174,61.0
San Manuel,Cabaritan,6,16.051075,120.658713,54.0
San Manuel,Flores,6,16.068733,120.6855,68.0
San Manuel,GuisetNorte,6,16.07238,120.66876,74.0
San Manuel,GuisetSur,6,16.065029,120.666714,68.0
San Manuel,Lapalo,6,16.144,120.631117,325.0
San Manuel,Nagsaag,6,16.06525,120.6565,66.0
San Manuel,Narra,6,16.099693,120.698064,86.0
San Manuel,SanAntonio-Arzadon,6,16.057914,120.689343,62.0
San Manuel,SanBonifacio,6,16.083056,120.679278,80.0
San Manuel,SanJuan,6,16.04944,120.67488,59.0
San Manuel,San Roque,6,16.153538,120.682758,341.0
San Manuel,SanVicente,6,16.062945,120.710409,66.0
San Manuel,Santo Domingo,6,16.055129,120.6444,56.0
SanNicolas,Bensican,6,16.159717,120.785383,457.0
SanNicolas,Cabitnongan,6,16.07854,120.77106,97.0
SanNicolas,Caboloan,6,16.08765,120.73284,79.0
SanNicolas,Cacabugaoan,6,16.107175,120.839363,934.0
SanNicolas,Calanutian,6,16.134363,120.68725,181.0
SanNicolas,Calaocan,6,16.080433,120.78185,104.0
SanNicolas,Camanggaan,6,16.0953,120.73158,83.0
SanNicolas,Camindoroan,6,16.117686,120.702914,126.0
SanNicolas,Casaratan,6,16.070667,120.7584,83.0
SanNicolas,Dalumpinas,6,16.143956,120.790278,383.0
SanNicolas,Fianza,6,16.1511,120.810767,826.0
SanNicolas,Lungao,6,16.085114,120.761486,88.0
SanNicolas,Malico,6,16.143675,120.829375,584.0
SanNicolas,Malilion,6,16.107267,120.745183,98.0
SanNicolas,Nagkaysa,6,16.06784,120.76056,85.0
SanNicolas,Nining,6,16.06404,120.7898,93.0
SanNicolas,PoblacionEast,6,16.074275,120.762375,86.0
SanNicolas,PoblacionWest,6,16.074267,120.75725,83.0
SanNicolas,Salingcob,6,16.110563,120.776525,243.0
SanNicolas,Salpad,6,16.18376,120.76676,499.0
SanNicolas,SanFelipeEast,6,16.173607,120.706553,281.0
SanNicolas,SanFelipeWest,6,16.148975,120.7008,305.0
SanNicolas,SanIsidro,6,16.116886,120.758243,322.0
SanNicolas,SanJose,6,16.057067,120.774167,77.0
SanNicolas,SanRafaelCentro,6,16.0757,120.734117,70.0
SanNicolas,SanRafaelEast,6,16.073867,120.749167,77.0
SanNicolas,SanRafaelWest,6,16.063025,120.7324,69.0
SanNicolas,SanRoque,6,16.060889,120.752922,74.0
SanNicolas,SantaMariaEast,6,16.1137,120.8093,318.0
SanNicolas,SantaMariaWest,6,16.09686,120.79538,230.0
SanNicolas,SantoTomas,6,16.099786,120.7175,81.0
SanNicolas,Siblot,6,16.069962,120.776913,92.0
SanNicolas,Sobol,6,16.0579,120.7426,72.0
SanQuintin,Alac,6,16.00235,120.798,105.0
SanQuintin,Baligayan,6,15.95046,120.7222,45.0
SanQuintin,Bantog,6,15.962786,120.813643,96.0
SanQuintin,Bolintaguen,6,15.98075,120.782086,74.0
SanQuintin,Cabalaoangan,6,15.9811,120.809014,104.0
SanQuintin,Cabangaran,6,16.01865,120.85517,921.0
SanQuintin,Calomboyan,6,15.98305,120.821517,116.0
SanQuintin,Carayacan,6,15.969754,120.827385,116.0
SanQuintin,Casantamarian,6,16.008445,120.864073,751.0
SanQuintin,Gonzalo,6,15.991667,120.865656,263.0
SanQuintin,Labuan,6,15.9487,120.73175,45.0
SanQuintin,Lagasit,6,15.997458,120.790825,83.0
SanQuintin,Lumayao,6,15.96647,120.74172,51.0
SanQuintin,Mabini,6,16.028263,120.855238,1016.0
SanQuintin,Mantacdang,6,15.958912,120.758682,57.0
SanQuintin,Nangapugan,6,15.98223,120.87086,483.0
SanQuintin,PoblacionZoneI,6,15.98915,120.80515,99.0
SanQuintin,PoblacionZoneII,6,15.98806,120.81588,116.0
SanQuintin,PoblacionZoneIII,6,15.99424,120.81232,102.0
SanQuintin,SanPedro,6,15.969482,120.799636,85.0
SanQuintin,Ungib,6,15.978483,120.797767,88.0
SantaMaria,Bal-Loy,6,15.98052,120.72016,46.0
SantaMaria,Bantog,6,15.96855,120.694417,41.0
SantaMaria,Caboluan,6,15.9653,120.72146,45.0
SantaMaria,Cal-Litang,6,15.948025,120.651612,33.0
SantaMaria,Capandanan,6,15.96148,120.6765,39.0
SantaMaria,Cauplasan,6,15.96159,120.66668,37.0
SantaMaria,Dalayap,6,15.960257,120.697671,43.0
SantaMaria,Libsong,6,15.9594,120.72216,45.0
SantaMaria,Namagbagan,6,15.954523,120.683238,39.0
SantaMaria,Paitan,6,15.977086,120.671457,42.0
SantaMaria,Pataquid,6,15.969889,120.728856,46.0
SantaMaria,Pilar,6,15.963073,120.650391,35.0
SantaMaria,PoblacionEast,6,15.981,120.69622,49.0
SantaMaria,PoblacionWest,6,15.98098,120.69246,46.0
SantaMaria,Pugot,6,15.981488,120.741825,53.0
SantaMaria,Samon,6,15.94137,120.63935,34.0
SantaMaria,SanAlejandro,6,15.978583,120.698217,47.0
SantaMaria,SanMariano,6,15.98695,120.711567,47.0
SantaMaria,SanPablo,6,15.9476,120.701983,37.0
SantaMaria,SanPatricio,6,15.988543,120.692357,44.0
SantaMaria,SanVicente,6,15.996433,120.703233,44.0
