municipality,barangay,district,lat,lon,elevation_m,soil_desc,soil_series,aez
Pozorrubio,Batakil,5,16.150457,120.516643,66.0,Umingan silt loam,Umingan,Lowlands
Pozorrubio,Bobonan,5,16.140322,120.5203,53.0,Umingan silt loam,Umingan,Lowlands
Pozorrubio,Buneg,5,16.126175,120.56195,72.0,Umingan silt loam,Umingan,Lowlands
Pozorrubio,Cablong,5,16.12784,120.53274,62.0,Umingan silt loam,Umingan,Lowlands
Pozorrubio,Casanfernandoan,5,16.124829,120.477243,61.0,San Fabian clay loam,San Fabian,Highlands
Pozorrubio,Castaño,5,16.114736,120.506436,40.0,San Fabian clay loam,San Fabian,Highlands
Pozorrubio,Dilan,5,16.088471,120.520557,36.0,San Manuel silty clay loam,San Manuel,Lowlands
Pozorrubio,Don Benito,5,16.141843,120.497871,61.0,Pangasinan river sand,Pangasinan,Lowlands
Pozorrubio,Haway,5,16.114767,120.481917,62.0,San Fabian clay loam,San Fabian,Highlands
Pozorrubio,Imbalbalatong,5,16.128771,120.549471,73.0,Umingan silt loam,Umingan,Lowlands
Pozorrubio,Inoman,5,16.150243,120.529286,61.0,Umingan silt loam,Umingan,Lowlands
Pozorrubio,Laoac,5,16.14382,120.50617,81.0,Umingan silt loam,Umingan,Lowlands
Pozorrubio,Maambal,5,16.10248,120.4878,52.0,San Fabian clay loam,San Fabian,Highlands
Pozorrubio,Malasin,5,16.10045,120.51985,36.0,San Manuel silty clay loam,San Manuel,Lowlands
Pozorrubio,Malokiat,5,16.127514,120.496329,49.0,San Fabian clay loam,San Fabian,Highlands
Pozorrubio,Manaol,5,16.118883,120.510183,45.0,Pangasinan river sand,Pangasinan,Lowlands
Pozorrubio,Nama,5,16.137325,120.534125,61.0,Umingan silt loam,Umingan,Lowlands
Pozorrubio,Nantangalan,5,16.092491,120.503209,43.0,San Fabian clay loam,San Fabian,Highlands
Pozorrubio,Palacpalac,5,16.13195,120.52365,52.0,Umingan silt loam,Umingan,Lowlands
Pozorrubio,Palguyod,5,16.128929,120.5124,48.0,Pangasinan river sand,Pangasinan,Lowlands
Pozorrubio,Poblacion I,5,16.11972,120.53428,56.0,San Manuel silty clay loam,San Manuel,Lowlands
Pozorrubio,Poblacion II,5,16.115617,120.534817,49.0,San Manuel silty clay loam,San Manuel,Lowlands
Pozorrubio,Poblacion III,5,16.12086,120.54196,57.0,San Manuel silty clay loam,San Manuel,Lowlands
Pozorrubio,Poblacion IV,5,16.11468,120.54258,56.0,San Manuel silty clay loam,San Manuel,Lowlands
Pozorrubio,Rosario,5,16.10018,120.56152,53.0,San Manuel silty clay loam,San Manuel,Lowlands
