municipality,barangay,district,lat,lon
SanQuintin,PoblacionZoneI,6,15.98915,120.80515
SanQuintin,PoblacionZoneII,6,15.98806,120.81588
SanQuintin,PoblacionZoneIII,6,15.99424,120.81232
SanQuintin,SanPedro,6,15.969482,120.799636
SanQuintin,Ungib,6,15.978483,120.797767
SantaMaria,Bal-Loy,6,15.98052,120.72016
SantaMaria,Bantog,6,15.96855,120.694417
SantaMaria,Caboluan,6,15.9653,120.72146
SantaMaria,Cal-Litang,6,15.948025,120.651612
SantaMaria,Capandanan,6,15.96148,120.6765
SantaMaria,Cauplasan,6,15.96159,120.66668
SantaMaria,Dalayap,6,15.960257,120.697671
SantaMaria,Libsong,6,15.9594,120.72216
SantaMaria,Namagbagan,6,15.954523,120.683238
SantaMaria,Paitan,6,15.977086,120.671457
SantaMaria,Pataquid,6,15.969889,120.728856
SantaMaria,Pilar,6,15.963073,120.650391
SantaMaria,PoblacionEast,6,15.981,120.69622
SantaMaria,PoblacionWest,6,15.98098,120.69246
SantaMaria,Pugot,6,15.981488,120.741825
SantaMaria,Samon,6,15.94137,120.63935
SantaMaria,SanAlejandro,6,15.978583,120.698217
SantaMaria,SanMariano,6,15.98695,120.711567
SantaMaria,SanPablo,6,15.9476,120.701983
SantaMaria,SanPatricio,6,15.988543,120.692357
SantaMaria,SanVicente,6,15.996433,120.703233
SantaMaria,SantaCruz,6,15.959933,120.7092
SantaMaria,SantaRosa,6,15.98146,120.68564
SantoTomas,LaLuna,5,15.87796,120.57042
SantoTomas,PoblacionEast,5,15.87785,120.578467
SantoTomas,PoblacionWest,5,15.88046,120.57138
SantoTomas,Salvacion,5,15.885967,120.58405
SantoTomas,SanAgustin,5,15.87832,120.5811
SantoTomas,SanAntonio,5,15.868183,120.563483
SantoTomas,SanJose,5,15.871317,120.565317
SantoTomas,SanMarcos,5,15.8758,120.56836
SantoTomas,Santo Domingo,5,15.866967,120.576133
SantoTomas,SantoNiño,5,15.87658,120.5621
Sison,Agat,5,16.211391,120.502936
Sison,Alibeng,5,16.135789,120.613189
Sison,Amagbagan,5,16.17132,120.48238
Sison,Artacho,5,16.1978,120.49812
Sison,AsanNorte,5,16.19168,120.52068
Sison,AsanSur,5,16.1587,120.5194
Sison,BantayInsik,5,16.187225,120.463025
Sison,Bila,5,16.183429,120.5134
Sison,Binmeckeg,5,16.207287,120.475887
Sison,BulaoenEast,5,16.19356,120.46962
Sison,BulaoenWest,5,16.179443,120.463914
Sison,Cabaritan,5,16.194317,120.479733
Sison,Calunetan,5,16.158371,120.596329
Sison,Camangaan,5,16.1559,120.49035
Sison,Cauringan,5,16.189486,120.4981
Sison,Dungon,5,16.226417,120.51705
Sison,Esperanza,5,16.201225,120.489025
Sison,Inmalog,5,16.196567,120.551917
Sison,Killo,5,16.119163,120.575437
Sison,Labayug,5,16.182656,120.592789
Sison,Paldit,5,16.170625,120.5182
Sison,Pindangan,5,16.176883,120.471317
Sison,Pinmilapil,5,16.203871,120.4551
Sison,PoblacionCentral,5,16.17415,120.49775
Sison,PoblacionNorte,5,16.180117,120.4913
Sison,PoblacionSur,5,16.166543,120.504914
Sison,Sagunto,5,16.203888,120.51255
Sison,Tara-Tara,5,16.157843,120.476829
Tayug,Agno,6,16.021992,120.719992
Tayug,Amistad,6,16.033462,120.733675
Tayug,BarangayA,6,16.031843,120.744371
Tayug,BarangayB,6,16.028867,120.743567
Tayug,BarangayC,6,16.03116,120.73876
Tayug,BarangayD,6,16.026243,120.739771
Tayug,Barangobong,6,16.008789,120.719278
Tayug,C.Lichauco,6,15.983891,120.767073
Tayug,Carriedo,6,16.03884,120.75762
Tayug,Evangelista,6,16.010583,120.739733
Tayug,Guzon,6,16.031683,120.709089
Tayug,Lawak,6,15.99591,120.75107
Tayug,Legaspi,6,16.049688,120.737088
Tayug,Libertad,6,16.022614,120.759314
Tayug,Magallanes,6,16.01881,120.73012
Tayug,Panganiban,6,16.0084,120.768575
Tayug,Saleng,6,15.99514,120.75916
Tayug,SantoDomingo,6,15.997383,120.73975
Tayug,Toketec,6,16.014489,120.763667
Tayug,Trenchera,6,16.0292,120.758217
Tayug,Zamora,6,15.99795,120.775967
Umingan,AbotMolina,6,15.90409,120.83282
Umingan,Alo-O,6,15.903155,120.885264
Umingan,Amaronan,6,15.948667,120.829144
Umingan,Annam,6,15.947818,120.859364
