municipality,barangay,district,lat,lon,elevation_m,avg_temp_c,annual_rainfall_mm
San Quintin,Gonzalo,6,15.991667,120.865656,263.0,25.34,2890.8
San Quintin,Labuan,6,15.9487,120.73175,45.0,27.18,2344.7
San Quintin,Lagasit,6,15.997458,120.790825,83.0,26.77,2480.6
San Quintin,Lumayao,6,15.96647,120.74172,51.0,26.96,2480.6
San Quintin,Mabini,6,16.028263,120.855238,1016.0,20.64,2600.1
San Quintin,Mantacdang,6,15.958912,120.758682,57.0,27.04,2480.6
San Quintin,Nangapugan,6,15.98223,120.87086,483.0,23.99,2628.1
San Quintin,Poblacion Zone I,6,15.98915,120.80515,99.0,26.65,2606.4
San Quintin,Poblacion Zone II,6,15.98806,120.81588,116.0,26.49,2890.8
San Quintin,Poblacion Zone III,6,15.99424,120.81232,102.0,26.59,2890.8
San Quintin,San Pedro,6,15.969482,120.799636,85.0,26.73,2606.4
San Quintin,Ungib,6,15.978483,120.797767,88.0,26.73,2606.4
Santa Maria,Bal-Loy,6,15.98052,120.72016,46.0,26.97,2480.6
Santa Maria,Bantog,6,15.96855,120.694417,41.0,27.13,2344.7
Santa Maria,Caboluan,6,15.9653,120.72146,45.0,26.97,2480.6
Santa Maria,Cal-Litang,6,15.948025,120.651612,33.0,27.11,2469.2
Santa Maria,Capandanan,6,15.96148,120.6765,39.0,27.38,2288.8
Santa Maria,Cauplasan,6,15.96159,120.66668,37.0,27.38,2288.8
Santa Maria,Dalayap,6,15.960257,120.697671,43.0,27.13,2344.7
Santa Maria,Libsong,6,15.9594,120.72216,45.0,26.97,2480.6
Santa Maria,Namagbagan,6,15.954523,120.683238,39.0,27.13,2344.7
Santa Maria,Paitan,6,15.977086,120.671457,42.0,27.37,2288.8
Santa Maria,Pataquid,6,15.969889,120.728856,46.0,26.97,2480.6
Santa Maria,Pilar,6,15.963073,120.650391,35.0,27.38,2288.8
Santa Maria,Poblacion East,6,15.981,120.69622,49.0,26.96,2480.6
Santa Maria,Poblacion West,6,15.98098,120.69246,46.0,27.36,2288.8
Santa Maria,Pugot,6,15.981488,120.741825,53.0,26.95,2480.6
Santa Maria,Samon,6,15.94137,120.63935,34.0,27.1,2469.2
Santa Maria,San Alejandro,6,15.978583,120.698217,47.0,26.96,2480.6
Santa Maria,San Mariano,6,15.98695,120.711567,47.0,26.96,2480.6
Santa Maria,San Pablo,6,15.9476,120.701983,37.0,27.19,2344.7
Santa Maria,San Patricio,6,15.988543,120.692357,44.0,27.38,2288.8
Santa Maria,San Vicente,6,15.996433,120.703233,44.0,26.97,2480.6
Santa Maria,Santa Cruz,6,15.959933,120.7092,40.0,27.13,2344.7
Santa Maria,Santa Rosa,6,15.98146,120.68564,36.0,27.38,2288.8
Santo Tomas,La Luna,5,15.87796,120.57042,28.0,26.9,2721.2
Santo Tomas,Poblacion East,5,15.87785,120.578467,26.0,26.9,2721.2
Santo Tomas,Poblacion West,5,15.88046,120.57138,32.0,26.9,2721.2
Santo Tomas,Salvacion,5,15.885967,120.58405,31.0,26.89,2721.2
Santo Tomas,San Agustin,5,15.87832,120.5811,30.0,26.9,2721.2
Santo Tomas,San Antonio,5,15.868183,120.563483,30.0,26.9,2561.4
Santo Tomas,San Jose,5,15.871317,120.565317,25.0,26.91,2561.4
Santo Tomas,San Marcos,5,15.8758,120.56836,31.0,26.9,2721.2
Santo Tomas,Santo Domingo,5,15.866967,120.576133,26.0,26.9,2561.4
Santo Tomas,Santo Niño,5,15.87658,120.5621,27.0,26.9,2721.2
Sison,Agat,5,16.211391,120.502936,145.0,26.04,2602.5
Sison,Alibeng,5,16.135789,120.613189,421.0,24.52,2732.4
Sison,Amagbagan,5,16.17132,120.48238,77.0,26.75,2524.9
Sison,Artacho,5,16.1978,120.49812,117.0,26.09,2602.5
Sison,Asan Norte,5,16.19168,120.52068,128.0,26.07,2602.5
Sison,Asan Sur,5,16.1587,120.5194,78.0,26.47,2453.4
Sison,Bantay Insik,5,16.187225,120.463025,111.0,26.1,2602.5
Sison,Bila,5,16.183429,120.5134,104.0,26.11,2602.5
Sison,Binmeckeg,5,16.207287,120.475887,112.0,26.1,2602.5
Sison,Bulaoen East,5,16.19356,120.46962,93.0,26.63,2602.5
Sison,Bulaoen West,5,16.179443,120.463914,146.0,26.02,2602.5
Sison,Cabaritan,5,16.194317,120.479733,98.0,26.6,2602.5
Sison,Calunetan,5,16.158371,120.596329,669.0,22.92,2747.9
Sison,Camangaan,5,16.1559,120.49035,93.0,26.92,2524.9
Sison,Cauringan,5,16.189486,120.4981,109.0,26.11,2602.5
Sison,Dungon,5,16.226417,120.51705,258.0,25.83,2602.5
Sison,Esperanza,5,16.201225,120.489025,114.0,26.09,2602.5
Sison,Inmalog,5,16.196567,120.551917,214.0,25.95,2602.5
Sison,Killo,5,16.119163,120.575437,67.0,26.36,2370.5
Sison,Labayug,5,16.182656,120.592789,783.0,22.22,3261.4
Sison,Paldit,5,16.170625,120.5182,92.0,26.44,2453.4
Sison,Pindangan,5,16.176883,120.471317,98.0,26.58,2602.5
Sison,Pinmilapil,5,16.203871,120.4551,160.0,26.01,2602.5
Sison,Poblacion Central,5,16.17415,120.49775,93.0,26.64,2602.5
